fecha,llegadas,reservas_llegadas
2015-07-01,188.0,103
2015-07-02,73.0,36
2015-07-03,77.0,37
2015-07-04,96.0,45
2015-07-05,80.0,37
2015-07-06,89.0,41
2015-07-07,68.0,29
2015-07-08,90.0,45
2015-07-09,63.0,29
2015-07-10,103.0,42
2015-07-11,125.0,61
2015-07-12,86.0,37
2015-07-13,83.0,39
2015-07-14,48.0,24
2015-07-15,114.0,54
2015-07-16,86.0,41
2015-07-17,199.0,106
2015-07-18,157.0,77
2015-07-19,78.0,36
2015-07-20,115.0,53
2015-07-21,64.0,27
2015-07-22,89.0,43
2015-07-23,134.0,65
2015-07-24,109.0,49
2015-07-25,203.0,100
2015-07-26,71.0,32
2015-07-27,151.0,73
2015-07-28,61.0,28
2015-07-29,73.0,34
2015-07-30,89.0,41
2015-07-31,111.0,51
2015-08-01,124.0,60
2015-08-02,94.0,43
2015-08-03,165.0,73
2015-08-04,80.0,39
2015-08-05,177.0,90
2015-08-06,93.0,48
2015-08-07,165.0,77
2015-08-08,222.0,106
2015-08-09,155.0,70
2015-08-10,276.0,127
2015-08-11,183.0,87
2015-08-12,163.0,83
2015-08-13,115.0,53
2015-08-14,233.0,119
2015-08-15,213.0,101
2015-08-16,148.0,74
2015-08-17,222.0,108
2015-08-18,155.0,68
2015-08-19,122.0,58
2015-08-20,126.0,60
2015-08-21,136.0,62
2015-08-22,183.0,80
2015-08-23,135.0,62
2015-08-24,179.0,84
2015-08-25,139.0,67
2015-08-26,142.0,72
2015-08-27,88.0,38
2015-08-28,128.0,59
2015-08-29,185.0,89
2015-08-30,101.0,49
2015-08-31,148.0,79
2015-09-01,171.0,82
2015-09-02,147.0,73
2015-09-03,180.0,89
2015-09-04,253.0,150
2015-09-05,195.0,95
2015-09-06,249.0,127
2015-09-07,175.0,91
2015-09-08,131.0,70
2015-09-09,237.0,137
2015-09-10,122.0,64
2015-09-11,224.0,131
2015-09-12,194.0,102
2015-09-13,104.0,51
2015-09-14,214.0,113
2015-09-15,135.0,80
2015-09-16,214.0,119
2015-09-17,247.0,137
2015-09-18,251.0,137
2015-09-19,227.0,119
2015-09-20,156.0,87
2015-09-21,269.0,147
2015-09-22,151.0,87
2015-09-23,221.0,114
2015-09-24,163.0,95
2015-09-25,240.0,152
2015-09-26,132.0,84
2015-09-27,86.0,51
2015-09-28,104.0,64
2015-09-29,115.0,64
2015-09-30,187.0,104
2015-10-01,158.0,87
2015-10-02,261.0,183
2015-10-03,106.0,59
2015-10-04,209.0,115
2015-10-05,200.0,108
2015-10-06,206.0,109
2015-10-07,231.0,132
2015-10-08,160.0,84
2015-10-09,253.0,132
2015-10-10,264.0,131
2015-10-11,132.0,68
2015-10-12,259.0,160
2015-10-13,161.0,90
2015-10-14,119.0,68
2015-10-15,314.0,187
2015-10-16,249.0,133
2015-10-17,129.0,62
2015-10-18,185.0,98
2015-10-19,289.0,170
2015-10-20,158.0,94
2015-10-21,178.0,103
2015-10-22,151.0,76
2015-10-23,158.0,86
2015-10-24,114.0,61
2015-10-25,261.0,135
2015-10-26,104.0,61
2015-10-27,83.0,52
2015-10-28,241.0,133
2015-10-29,118.0,76
2015-10-30,121.0,68
2015-10-31,199.0,98
2015-11-01,94.0,49
2015-11-02,97.0,55
2015-11-03,102.0,65
2015-11-04,73.0,45
2015-11-05,91.0,55
2015-11-06,147.0,84
2015-11-07,138.0,80
2015-11-08,76.0,45
2015-11-09,72.0,45
2015-11-10,70.0,39
2015-11-11,75.0,50
2015-11-12,72.0,45
2015-11-13,55.0,28
2015-11-14,65.0,33
2015-11-15,39.0,24
2015-11-16,99.0,63
2015-11-17,106.0,74
2015-11-18,240.0,161
2015-11-19,82.0,44
2015-11-20,196.0,132
2015-11-21,171.0,81
2015-11-22,62.0,36
2015-11-23,177.0,140
2015-11-24,103.0,65
