periodo,filas,duplicados,porcentaje_duplicados
2015-07,2776,1102,39.69740634005764
2015-08,3889,1436,36.924659295448706
2015-09,5114,2275,44.48572545952288
2015-10,4957,2257,45.53157151502925
2015-11,2340,675,28.846153846153843
2015-12,2920,938,32.12328767123287
2016-01,2248,399,17.749110320284696
2016-02,3891,1085,27.884862503212542
2016-03,4824,993,20.58457711442786
2016-04,5428,1658,30.545320560058954
2016-05,5478,1698,30.996714129244253
2016-06,5292,1775,33.54119425547997
2016-07,4572,721,15.769903762029747
2016-08,5063,640,12.640726841793404
2016-09,5394,1543,28.605858361142012
2016-10,6203,1969,31.7427051426729
2016-11,4454,1124,25.235743152222724
2016-12,3860,711,18.419689119170986
2017-01,3681,837,22.73838630806846
2017-02,4177,885,21.187455111323917
2017-03,4970,1288,25.915492957746476
2017-04,5661,1523,26.90337396219749
2017-05,6313,1738,27.530492634246794
2017-06,5647,1399,24.774216398087482
2017-07,5313,781,14.699792960662524
2017-08,4925,544,11.045685279187817
