order,seasonal_order,AIC,BIC,convergio
"(0, 1, 1)","(1, 1, 1, 7)",7788.334118733119,7806.628839400962,True
"(0, 1, 1)","(0, 1, 1, 7)",7789.628373613346,7803.349414114228,True
"(1, 1, 1)","(1, 1, 1, 7)",7790.047381566936,7812.915782401739,True
"(1, 1, 1)","(0, 1, 1, 7)",7791.599891338294,7809.894612006136,True
"(2, 1, 1)","(1, 1, 1, 7)",7792.028153341226,7819.47023434299,True
"(2, 1, 1)","(0, 1, 1, 7)",7793.539125597572,7816.407526432376,True
"(1, 0, 0)","(1, 1, 1, 7)",7874.408857780738,7892.714736056931,True
"(1, 0, 0)","(0, 1, 1, 7)",7877.405170216061,7891.134578923206,True
"(2, 1, 1)","(1, 0, 0, 7)",7898.238509970526,7921.15555608132,True
"(1, 1, 1)","(1, 0, 0, 7)",7907.585283267416,7925.9244488369595,True
"(0, 1, 1)","(1, 0, 0, 7)",7918.894187889796,7932.65270285436,True
"(0, 1, 1)","(0, 0, 0, 7)",8006.46613777351,8015.652226841795,True
"(1, 1, 1)","(0, 0, 0, 7)",8008.058938383431,8021.838071985859,True
"(2, 1, 1)","(0, 0, 0, 7)",8009.726607373115,8028.098785509685,True
"(1, 0, 0)","(1, 0, 0, 7)",8193.779715873905,8207.538230838469,True
"(1, 0, 0)","(0, 0, 0, 7)",8407.790036244336,8416.981597272259,True
